"cnrmcm3","gfdlcm21","miroc32med","mpiecham5","ncarccsm3","ncarpcm1"
0.099776744145285,0.128630652232581,0.169242870166968,0.187830426445711,0.1774313323521,0.19336142551753
0.179368168447761,0.106155602304246,0.143060755625073,0.150153904376865,0.224209671860017,0.178192630813628
0.106200533426167,0.191694385598888,0.168949470372087,0.125849588931854,0.149477598039897,0.178501599917438
0.199280420246378,0.196458099703365,0.160601466045418,0.120220647621827,0.147358062711809,0.0812165824544779
0.1697222038973,0.225342232441294,0.411086982748221,0.100820241285478,0.444856290638611,0.0912020692483723
0.171833521180506,0.133135265040876,0.102923323061118,0.0839833809850269,0.233771350104794,0.10587470302371
0.0841578956649657,0.101735330224331,0.0218869649694268,0.152816483067253,0.159417556904478,0.134535952244206
0.143655725796918,0.419395384115289,0.15552017158917,0.0792922334761832,0.104234606604524,0.0710116384359234
0.106122833806882,0.168745465706792,0.165562674952662,0.185711755536414,0.169891149683439,0.111018420100196
0.121030840998615,0.0770898393073442,0.112688870645493,0.192787499488373,0.0812192504622861,0.150504745738824
0.0736975592089931,0.141033717745754,0.239632660881942,0.0967006824807879,0.105114948201548,0.0524334061523854
0.17462884942233,0.107081715464582,0.116853544513321,0.0838671701411638,0.149235918557802,0.171660472262585
0.184046709247878,0.0961652961567761,0.105795750278725,0.119293677798961,0.107227445368992,0.169212803529722
0.0715131299666966,NA,0.161753964770337,0.127784922873708,0.138377403626635,0.158506202496661
0.00562597310199275,0.153398587950584,0.0813040570179645,0.159732718989683,0.164644388462693,0.20775584706906
0.127682070923407,0.127060224493342,0.137926021236096,0.185297504452694,0.0731329463066092,0.136714076136957
0.109998538742891,0.191398630795895,0.179191111841045,0.170725860467412,0.174311967767698,0.376728193992038
0.0741289169865942,0.203228233023213,0.200781470824149,0.12598264710265,0.151345070482981,0.1261520131608
0.346028564269607,0.475985046728972,0.100621834475198,0.344090561788716,0.115256849478763,0.0941778786121207
0.0707736686150804,0.0637172687681028,0.0739166122357793,0.103996146926147,0.0860229679575617,0.145573174563403
0.165806203857063,0.0665570343943005,NA,0.174821529278832,NA,0.220182379511671
0.189210418502777,0.335002211766598,0.21316180934725,0.160156004982513,0.0836400921940255,0.190376680658519
0.129630335738045,NA,0.0813070391141921,0.172296766231283,0.151690188078862,0.11618324445649
0.185486941387239,0.0923415718505129,0.167467700231049,0.210116004671612,0.145066061461904,0.130744644330496
0.0996351602671964,0.148753270477758,0.146118850435221,0.217332979781396,0.0741715673401168,0.151884777262781
0.163098955794673,0.407530102256913,0.45118182577466,0.217163629342171,0.0860205456718089,0.173446294256401
0.146128938301366,0.366025301288107,0.0855663012869182,0.383690323429737,0.100696741067362,0.147974728005853
0.0854235440710639,0.105444559526728,0.166271013398241,0.112835622997776,0.0694817346315184,0.155963848982966
0.179749606067656,0.0661739633856152,0.148403461530469,0.172957412431582,0.380205101819484,0.151049622535788
0.161594089927047,0.18588749289075,0.0863745294752898,0.113763664042465,0.0529836568036653,0.0633908581395288
0.111926433814268,NA,0.185667723405333,0.412173913043478,0.0635534615583476,0.129645789385051
0.113362691906629,0.0607953962232243,0.107856092663684,0.0989806243053122,NA,0.113534166820859
0.421693512579708,0.338709677419355,0.124857551720201,0.237139299484812,NA,0.174934358358268
0.0997700760393258,0.266634779555114,0.0801084866541059,0.116667197822722,NA,0.0646596626947009
0.209869284633153,0.0885073506528785,0.352378967426904,0.128325550517165,0.114342804617156,0.0650619522501109
NA,0.101059751468074,NA,NA,0.11880299682295,0.131421733815047
0.0463798222872211,0.10208823648995,0.0965302543804594,NA,0.104833769689587,0.197448296658339
0.127941562819785,0.13055704312215,0.0401947541443805,0.161428651617079,0.0951915986771598,0.155680562698821
0.0844455281698997,0.122543876367374,0.102105279192811,0.178807849437286,0.120031526108729,0.133459008794702
0.12961598760666,0.0878486081163055,NA,0.19823201366755,0.0798650550032803,0.203562242667039
0.103156695493923,0.284198414727691,NA,0.170364641636779,0.0838492870872233,0.316129976580796
0.14505879589511,0.360692096237699,0.117988384275029,0.112005221251221,0.239096664381105,0.366092612699562
0.136653957148252,0.283786647123196,0.0913637565574266,0.151399887759556,0.23648903871654,0.277596815056098
0.0939191433353333,0.157257481989296,0.1573452583098,0.166118722034618,0.0588460596232788,0.227317476451312
0.403546869344915,0.13705218835466,0.0581095638865595,NA,0.286030599989396,0.155958355843081
0.114644025618141,0.394905899384727,0.08590768103703,0.150304401751704,0.0502250078039286,0.160290432490763
0.160992379825125,NA,0.106751750230628,0.1736461787874,0.100370989724131,0.27478507266699
0.0743761366315048,0.0865917675127803,0.116270499355076,0.166302199495911,0.076307310311764,0.128067356560696
0.125703399620226,0.0921377963452548,0.351982364140419,0.438436482084691,NA,0.109668938093628
NA,0.0836759393597765,NA,0.0643200996290614,NA,0.167217260134872
NA,0.168549975773395,NA,0.445651230549873,0.274158523344191,0.0977408062466536
NA,0.0926679381080343,0.0802620606270767,0.113142434575408,0.109288543080259,0.0713455315685127
NA,NA,0.0795774039455566,0.15966629722247,0.104792693584391,0.128232341229577
0.346262297239496,NA,0.308712434899428,NA,0.182680937992329,0.0876520332105822
0.0376766091051805,0.0934066682394317,0.131108373812362,0.14384284884174,NA,0.172387501963791
0.0778888502587487,NA,NA,0.492476406050096,0.382962529274005,0.150887849559364
NA,0.319967426710098,0.483303624480095,0.149970634980562,0.100103134613645,0.114204666558093
0.152740529453114,NA,0.459889501296668,NA,NA,0.108519929795328
NA,NA,0.090714725628329,NA,NA,0.0881121547213701
NA,NA,0.0618606516023749,NA,0.361020629750271,0.0897607379521549
NA,0.342717484486461,NA,0.360180995475113,0.0595395202198824,0.108903525294991
0.317601834803114,0.284293035875791,0.408425697047019,0.148967180963673,0.397920380273321,0.393490512383021
NA,0.299361090094338,NA,0.11189139431644,NA,0.0853752158352704
0.183943628771781,0.0891913067262321,NA,0.116298124170764,0.0860704233257792,0.147466051199252
0.431579640048695,0.374364191251272,NA,0.116043605723333,NA,0.0461521158646311
0.396867548233254,NA,NA,NA,NA,0.104931853386351
0.0732602426745539,NA,NA,NA,0.275853967243431,0.111778411147304
0.456616339349907,NA,NA,NA,NA,0.139993221164838
0.0595062158494994,NA,NA,0.119374650688456,0.203733112423705,0.425640901145854
0.0776968593856018,NA,NA,NA,NA,0.410416666666667
0.219409984521912,NA,0.37515589922674,0.091551253213167,0.233079985522982,0.108800983521977
NA,NA,0.441155850529317,0.141514469598794,0.0744044896245799,0.106386134367211
NA,NA,0.171712610778626,0.0968791148387838,NA,0.0943741124643121
NA,NA,0.207194279830745,0.159945673260036,0.46875169239101,0.0834377004475692
0.102361291190973,NA,0.449733380732314,0.0500349912830646,NA,NA
0.159276551549913,NA,0.385203055890631,0.0528448802785086,NA,NA
NA,NA,NA,0.0794451172963514,NA,0.0598571933048189
NA,NA,NA,0.102085129121391,0.0883308700849463,NA
0.405240966688546,NA,NA,NA,0.342563833702712,0.0968843928905839
NA,NA,NA,0.182424863411865,NA,0.124681303901634
NA,NA,NA,0.230233367345499,0.406414446805034,0.0979228709725045
0.0770205298274391,NA,0.478322793824418,NA,NA,0.0751878957090684
0.259055331719031,NA,NA,NA,NA,0.185720933048658
0.20914543913479,NA,NA,NA,NA,0.0972502385677587
NA,NA,NA,NA,NA,0.187342324253809
NA,NA,0.293463118572481,NA,NA,0.226119160832179
NA,NA,NA,NA,NA,NA
