YEAR,A2_CNRMCM3,A2_GFDLCM21,A2_MIROC32MED,A2_MPIECHAM5,A2_NCARCCSM3,A2_NCARPCM1,B1_CNRMCM3,B1_GFDLCM21,B1_MIROC32MED,B1_MPIECHAM5,B1_NCARCCSM3,B1_NCARPCM1
2010,6224,7046,11372,13972,12366,13632,12588,7814,1880,6606,4842,14458
2011,11622,5974,11262,11708,13200,11382,9390,5750,6394,6808,5054,6082
2012,5690,14568,12890,7500,8958,11778,8244,7202,12414,10304,11064,14276
2013,13040,14592,11000,10532,13242,6740,8994,2436,2324,9292,3634,9432
2014,13674,522,0,4914,18,10920,14434,14062,13336,4012,5068,10642
2015,14606,8374,6314,3290,14340,10556,3928,9398,8426,14546,10,12494
2016,14572,6786,4820,13954,206,8296,7894,6264,5314,2966,3436,7834
2017,10698,0,14396,4342,1158,2824,7924,11212,5902,0,3288,11218
2018,5616,6298,11512,12196,7852,9330,10994,12206,10810,10396,14320,14488
2019,12446,2960,0,13344,4756,10964,7748,13360,10246,14114,3442,14216
2020,12664,13712,272,9580,584,4592,9332,3496,856,9600,476,9934
2021,13546,6208,7776,6536,330,14378,13820,4112,12978,6844,2136,14194
2022,12746,5588,3494,6094,2542,10210,5346,4414,11880,4964,9112,14586
2023,10630,0,12176,8496,6428,14348,4576,8326,12558,8492,8728,6838
2024,8314,490,7780,9180,13756,8982,9250,4930,9866,13320,11700,13174
2025,12736,1214,9236,13718,4744,12046,14590,7910,5692,12160,11868,13318
2026,6376,13830,12174,10396,498,0,11774,14022,5968,2748,8010,12332
2027,4914,452,9434,13040,10252,8312,76,3132,3194,14386,0,7530
2028,0,0,1348,108,5740,13820,1226,3798,6350,5762,10394,14410
2029,3286,2598,1896,4758,3380,6890,9842,2212,7450,6110,12732,3908
2030,10194,4776,0,10680,0,13292,0,8206,604,1254,486,14170
2031,13430,0,13714,11148,2244,11208,14502,9332,12628,7752,8762,13884
2032,6412,0,3900,13322,12384,9694,10552,9172,5364,11790,0,5010
2033,13366,4916,590,12716,7784,9056,13056,5810,12970,2502,6694,11606
2034,4778,11580,7784,12996,1354,14350,6234,0,724,14190,4122,10842
2035,9188,0,0,316,5236,11548,2058,7476,774,12476,2296,5664
2036,11990,58,4632,0,5574,11318,7560,7090,6506,4556,4022,14484
2037,5994,8842,8664,6968,2832,10492,9624,4906,0,13278,8218,12982
2038,9676,5772,6980,14586,134,746,13782,774,10420,8796,4652,10834
2039,7290,0,4624,6568,2448,7682,8182,0,8588,8470,6338,14628
2040,7362,0,9430,0,1698,6062,3300,1906,12358,6668,3920,11042
2041,8832,4124,0,3824,0,12144,10130,9228,3446,2806,2836,14036
2042,50,0,5868,13480,0,13144,5042,0,0,7366,0,9454
2043,5068,376,2506,5062,0,3096,5180,10884,5992,4444,3788,13232
2044,218,4708,0,6706,6668,5936,11110,3680,4952,11826,8604,13972
2045,0,8776,0,0,4768,12122,4726,5510,0,8428,4456,10338
2046,1738,4120,5538,0,4764,12114,5952,11204,0,13226,3754,11398
2047,2692,6974,3136,13518,5388,7780,11720,7336,292,0,0,7158
2048,4776,7178,6896,9530,2018,7924,7868,9632,4714,14620,4520,11384
2049,8486,392,0,1498,1846,10786,0,6018,0,14190,2096,9066
2050,13070,156,0,7386,1886,0,1064,7410,3892,9328,3882,6062
2051,14622,0,6988,4262,448,0,10846,7838,8,5170,4432,9794
2052,14622,0,1708,9866,228,0,11380,5518,0,5196,8884,8566
