YEAR,A2_CNRMCM3,A2_GFDLCM21,A2_MIROC32MED,A2_MPIECHAM5,A2_NCARCCSM3,A2_NCARPCM1,B1_CNRMCM3,B1_GFDLCM21,B1_MIROC32MED,B1_MPIECHAM5,B1_NCARCCSM3,B1_NCARPCM1
2010,6046,6772,10636,13548,10748,13804,11464,7150,566,7356,3964,14444
2011,11450,5942,10024,12080,12784,10974,7760,6712,5440,6958,5264,4488
2012,6016,14494,10350,7076,7390,11348,8742,4618,11788,10230,10232,14056
2013,13220,14434,10092,11146,12416,9030,8202,2242,2134,8412,3484,8170
2014,13212,466,0,4478,0,10452,13392,13090,11158,3520,4632,11524
2015,14520,7474,4166,3092,13778,10168,2590,9902,5992,14318,0,11814
2016,14280,6094,2724,12714,276,7526,6818,8430,2126,2374,2796,5860
2017,10742,0,14244,4344,946,2560,6884,10412,4982,0,3176,10526
2018,5564,1616,11020,11694,7684,8828,10916,13316,10850,9468,13956,14538
2019,11362,1296,3484,12658,3072,9624,7664,12462,9812,13940,3172,14446
2020,11754,13178,228,9272,526,4592,7864,3458,666,8498,338,9340
2021,12896,5052,6384,5520,272,13994,13456,3960,12598,5872,1060,13852
2022,12926,5462,3346,7072,2398,8984,5896,3680,12048,4172,9876,14352
2023,11060,0,10026,6820,4900,13148,3526,6802,11782,6594,7282,7304
2024,9570,160,6864,7890,12394,8444,7796,5092,10348,11452,13294,13698
2025,11882,1118,9090,14030,4600,12378,14574,7898,5524,11576,10812,14060
2026,7330,11746,11724,9136,380,0,4282,13686,5790,2858,6600,11448
2027,5148,448,8138,14324,8402,7418,70,2244,2668,13856,0,5856
2028,0,0,482,40,2696,13358,1406,3908,4620,5764,9166,13600
2029,3194,1130,1738,4674,3148,7402,9338,1994,6368,6570,12330,3378
2030,10108,4454,0,8294,0,13716,0,7180,314,518,122,13384
2031,11562,0,10392,10430,654,10900,13288,9118,10922,6626,7414,12822
2032,5252,0,2220,12198,11520,8354,8858,8442,4054,11376,0,4834
2033,14024,6134,392,13410,7932,10358,13314,4792,12410,2812,4338,10296
2034,5026,10850,6524,13132,430,13300,5050,0,564,13960,2756,10496
2035,8694,0,0,116,5828,10574,2028,6268,352,12892,1294,5328
2036,11444,98,4198,0,4580,9472,6676,5770,5576,3542,3202,14240
2037,5896,5184,6772,5224,2272,9746,8708,5204,0,13532,7586,13240
2038,9572,3906,6836,13956,50,708,13986,692,9162,8970,634,10248
2039,6268,0,3168,5504,2906,6134,6874,0,7590,8296,6488,14626
2040,6424,0,8608,0,1460,3520,1856,1314,8578,3976,0,10770
2041,7800,2114,1384,3378,0,7662,9866,6846,2324,872,2310,12952
2042,0,0,5398,13242,0,12696,3678,0,0,6858,0,9712
2043,5058,352,1274,3874,0,3060,4498,8668,4420,4228,976,13430
2044,124,1468,0,7006,4726,5868,9840,324,2834,11844,6834,13668
2045,0,7316,0,0,2700,11300,3784,4326,0,7664,3080,8812
2046,1658,212,3932,0,2684,11120,4818,10552,0,9746,3540,10180
2047,646,4918,1192,12914,5190,7316,11236,6796,0,0,0,4484
2048,3436,6892,5644,10036,1826,6558,6974,8684,4368,14620,3410,10556
2049,3106,898,0,330,532,10252,0,5332,0,13892,1836,8724
2050,11122,100,0,6184,1670,0,844,5808,1600,9518,3242,4772
2051,9558,24,106,1892,336,0,9118,6824,0,3016,3240,9778
2052,5612,0,496,10848,0,0,10590,4230,0,3126,8508,8310
2053,3704,6488,5974,7530,3644,236,3670,5208,1632,7938,3938,9030
2054,0,6194,232,0,156,7826,5310,4946,0,13792,8206,8938
2055,5840,0,2322,5332,4852,12432,3894,504,0,302,4838,5600
2056,9074,0,4398,12222,6624,188,3274,0,88,3914,2454,14012
2057,5996,858,38,0,3088,10700,6582,3942,5918,6576,612,0
2058,442,4508,0,0,0,4300,8692,2396,0,0,12490,3936
2059,0,4374,0,5452,0,9498,8444,8096,522,0,0,4138
2060,0,598,0,0,0,3454,12322,10838,12794,988,2986,1946
2061,0,2084,3304,536,3364,9956,7730,60,150,3492,12032,6692
2062,0,0,468,6792,3772,8660,0,3662,4454,188,2704,13642
2063,0,0,262,0,7758,3948,6068,286,12,0,3648,12020
2064,0,78,5456,11638,0,7418,0,2010,4914,5584,4766,4730
2065,3348,0,0,38,0,5348,2814,3390,552,0,0,7858
2066,0,0,0,5738,586,10384,5724,0,2256,11246,3786,5294
2067,7624,0,0,0,0,7200,0,214,0,0,374,0
2068,0,0,152,0,0,5452,0,10830,0,0,7162,8620
2069,0,0,1096,0,0,4354,5156,5272,0,10914,4924,12120
2070,0,0,0,0,30,4038,0,0,3260,3046,3378,12822
2071,0,0,0,6832,0,0,5344,0,0,136,0,2428
2072,0,0,0,3238,0,2702,606,0,0,6786,2446,796
2073,0,3390,0,756,112,6224,0,6632,0,5952,2536,0
2074,0,0,0,4818,0,1954,1160,0,0,0,0,4996
2075,0,0,0,0,0,3772,0,0,0,0,1962,344
2076,116,0,0,0,0,5256,0,3806,1634,9346,7768,0
2077,0,0,0,0,0,11130,258,1706,2682,0,204,6524
2078,1864,0,0,7068,0,0,8554,2576,1482,22,302,7814
2079,400,0,0,0,0,0,752,118,1090,3134,0,13578
2080,0,0,0,324,0,604,982,0,0,2868,3558,11186
2081,0,0,0,5212,0,8738,3900,0,0,2108,0,5438
2082,0,0,0,212,0,4976,3060,5798,0,4592,8170,8336
2083,0,0,416,184,0,484,4272,0,1878,1860,0,9676
2084,80,0,0,4460,0,0,7284,0,3152,0,9010,1890
2085,0,0,0,3022,0,0,0,0,0,4860,0,5018
2086,0,0,0,7186,0,242,4540,0,0,2192,0,5558
2087,0,0,0,1348,5474,0,0,0,0,0,0,226
2088,0,0,0,0,278,8198,584,860,0,0,3064,4824
2089,0,0,0,0,0,6302,956,0,0,3156,0,10822
2090,0,0,0,0,0,3904,3452,710,104,0,2248,3694
2091,0,0,0,0,0,2114,0,0,0,852,2592,2916
2092,0,0,0,0,0,9490,2470,120,0,0,442,5896
2093,468,0,0,0,0,3266,0,422,0,0,1610,6060
2094,0,0,0,0,0,62,0,0,280,0,6018,4216
2095,0,0,0,0,0,50,9296,8492,0,0,6824,9652
2096,0,0,0,0,0,0,0,0,0,0,0,458
2097,0,0,0,0,0,0,0,0,2498,0,4086,5234
2098,0,0,0,0,0,0,0,0,0,0,84,6814
2099,0,0,0,166,0,0,0,0,226,0,5108,12940
