YEAR,A2_CNRMCM3,A2_GFDLCM21,A2_MIROC32MED,A2_MPIECHAM5,A2_NCARCCSM3,A2_NCARPCM1,B1_CNRMCM3,B1_GFDLCM21,B1_MIROC32MED,B1_MPIECHAM5,B1_NCARCCSM3,B1_NCARPCM1
2010,9428,14306,14392,14628,14632,14630,14630,14534,5340,11750,10364,14620
2011,14600,13918,14622,14620,14632,14620,14628,14524,14620,9104,13232,12928
2012,13956,14630,14624,14636,14334,14620,14598,8520,13612,12784,14616,14620
2013,14620,14620,14448,14168,14620,12108,14620,3394,2454,14618,6140,14640
2014,14618,910,0,9298,0,13010,14636,14636,14620,4532,6054,14636
2015,14636,14452,14314,5372,14636,14612,6014,14636,14590,14620,456,14640
2016,14634,14608,13554,14586,6534,12942,13062,14352,1634,5732,1232,14312
2017,14636,290,14620,10396,2190,2984,14548,14616,8516,0,3666,14616
2018,13370,12346,14620,14620,13938,14628,14404,14616,11344,14612,14618,14620
2019,14638,11028,8508,14624,7260,14630,14434,14634,13100,14638,3212,14630
2020,14456,14620,674,14636,532,6888,13878,4376,920,14636,488,14612
2021,14622,14260,14584,9026,348,14620,14638,5380,14620,11666,3528,14620
2022,14634,7744,4504,14550,2506,14620,14594,14334,14634,13472,14310,14642
2023,14630,0,14634,12568,11730,14576,10304,13208,14630,14588,14524,14624
2024,14628,856,11584,13742,14572,13832,14636,6628,14636,14630,14624,14632
2025,14638,1334,10798,14462,7826,14510,14636,14112,9050,14616,14610,14632
2026,14476,14628,14236,14352,822,0,14366,14616,9576,4010,11812,14616
2027,10864,1256,14600,14616,14510,12376,0,2720,5752,14620,0,14358
2028,0,400,2760,0,10968,14638,2114,5380,7858,11500,14536,14620
2029,7658,4004,2970,10468,5210,14548,14166,2708,14508,14494,13976,4258
2030,14636,8084,0,14412,0,14634,0,14560,3086,3516,2438,14638
2031,14638,0,14618,14572,5206,14594,14608,14608,14408,13850,14050,14620
2032,13770,0,8910,14616,14524,14468,13868,14366,10844,14628,0,6418
2033,14630,14270,980,14648,14132,14616,14636,13670,13988,14282,14530,14618
2034,6864,14622,14050,14620,5292,14630,12406,0,1144,14620,10496,14620
2035,14634,0,0,5252,10812,14566,3504,11616,1128,14628,3086,10008
2036,14514,244,9204,106,14524,14614,14602,13886,14370,10698,3890,14620
2037,8902,14028,14614,7808,4662,14636,14630,13188,264,14530,14524,14630
2038,14592,13780,9258,14616,488,1382,14638,1392,14600,12256,8416,14620
2039,14450,12,6752,13162,9834,10188,14138,0,13662,8046,14284,14636
2040,11654,0,13324,0,2184,14620,6954,6500,14446,14554,11780,14620
2041,10838,12238,5024,4832,0,14506,14628,14588,7000,11786,3500,14636
2042,182,0,14522,14626,0,14636,12510,0,0,14634,0,14630
2043,7894,526,4662,7822,0,4970,8686,14620,14608,7582,9320,14636
2044,358,9754,0,13904,13458,8042,14636,14602,10148,14630,14504,14636
2045,0,14602,0,0,10596,14638,9890,14126,0,14588,8932,14636
2046,1304,10682,7284,0,11304,14536,14150,14412,0,14636,5516,14604
2047,486,14102,8280,14620,9086,14538,14626,14520,468,0,134,14528
2048,11624,14244,14578,14620,3636,14596,14608,14618,4878,14620,6596,14618
2049,14464,7632,0,4434,5614,14638,74,10740,0,14620,2314,14636
2050,14592,394,0,14324,2914,0,2088,13530,13486,14620,5688,12418
2051,14098,0,13436,11460,396,0,14632,14576,114,13636,14012,14282
2052,14516,834,4390,14638,1288,0,14634,14518,0,14500,14624,14622
2053,12390,14084,6942,14616,14464,470,8834,9432,2084,14612,5094,14626
2054,0,12280,5384,0,178,14632,9952,6188,0,14638,14630,14322
2055,14626,660,6504,14546,13860,14618,5594,1178,0,1744,14496,9106
2056,14620,0,6054,14648,11602,370,12816,0,1948,12856,7618,14624
2057,10242,7262,3492,650,11398,14628,14628,6520,13894,14548,996,0
2058,804,6642,0,0,0,13446,14640,4650,260,0,14620,6422
2059,0,3586,0,11532,0,14610,14268,14640,5858,0,0,4066
2060,0,1480,0,0,0,13446,14652,14240,14584,4962,5802,2286
2061,0,14178,9622,1004,10348,14628,14620,0,1848,9432,14620,14226
2062,0,0,5578,14612,13120,14612,0,9260,11136,314,6786,14620
2063,106,0,816,0,14630,5060,13590,1268,1500,0,9434,14636
2064,0,2928,8916,13980,0,14612,0,2408,13702,14582,12144,14000
2065,13104,0,0,2628,54,14188,10506,13142,4874,0,2,14616
2066,0,3790,0,14086,1194,14050,14146,12,4860,14624,5086,14614
2067,14628,0,208,0,0,12558,726,5124,0,2348,6088,0
2068,0,0,4424,0,0,13008,0,14638,0,588,14636,11522
2069,0,0,5084,0,0,6582,13552,13596,0,14638,13192,14100
2070,0,460,0,0,4778,11360,0,556,5738,9822,10906,14638
2071,166,0,602,14054,0,0,13750,0,884,3146,0,3098
2072,0,1524,0,13490,0,14408,5768,552,0,12658,13642,56
2073,2194,11842,0,7206,6898,14618,0,14060,0,9376,12518,0
2074,186,26,0,12504,0,13012,11402,0,0,0,172,13354
2075,0,0,0,0,0,9508,0,0,0,0,12292,430
2076,2976,0,0,0,1160,14024,0,5634,6740,14636,14614,0
2077,5266,0,0,0,0,14636,694,11332,12514,0,5718,14562
2078,10336,0,0,14616,1766,56,14610,6694,2722,190,688,14624
2079,3784,0,0,0,0,0,2378,3050,5778,10922,0,14614
2080,2422,0,0,10068,36,1194,9402,0,0,11036,8844,13808
2081,0,0,514,12852,11598,14614,10336,0,0,8312,1812,9324
2082,0,0,2722,1898,0,11450,11648,14610,0,14614,13236,14560
2083,0,0,2890,3464,0,1198,12712,0,8362,6602,92,14466
2084,11058,0,94,9354,0,0,14116,2882,9090,0,14592,5878
2085,2406,0,4,14372,0,0,0,0,0,12786,0,13292
2086,0,0,0,14484,0,4420,14264,0,0,4142,0,11318
2087,0,0,0,5562,8950,0,0,0,0,0,0,3956
2088,1086,0,0,0,3108,14500,3138,9684,0,0,12870,14372
2089,0,0,0,3020,0,14084,4642,0,0,13374,0,14620
2090,0,0,0,2362,1062,12198,12660,4958,12232,0,13638,13308
2091,5814,0,1070,0,0,5562,498,28,2644,6608,10134,3862
2092,1876,0,0,0,0,14552,9864,2220,0,0,6922,14618
2093,4228,0,0,0,0,10564,0,13216,0,0,12080,14458
2094,0,0,0,0,0,3532,448,0,3326,0,14052,11882
2095,0,0,1274,0,0,964,14636,14606,0,0,13630,14618
2096,0,0,0,0,0,0,0,0,0,0,0,5582
2097,0,0,0,0,0,0,0,0,8346,0,14128,13636
2098,0,0,0,0,0,0,0,96,4416,0,662,8446
2099,5636,0,0,5392,0,0,626,0,4390,0,14054,14654
