1     
Chinook Salmon ; 2010 spawners 
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
417     
Chinook Salmon ; 2018 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
469     
Chinook Salmon ; 2019 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
521     
Chinook Salmon ; 2020 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
573     
Chinook Salmon ; 2021 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
625     
Chinook Salmon ; 2022 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
677     
Chinook Salmon ; 2023 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
729     
Chinook Salmon ; 2024 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
781     
Chinook Salmon ; 2025 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
833     
Chinook Salmon ; 2026 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
885     
Chinook Salmon ; 2027 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
937     
Chinook Salmon ; 2028 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
